checksumStart,logTime,missionTime,roll,pitch,heading,airSpeed,elevator,aileron,alfa,betha,standAngle,pressure,pressureAlt,ax,ay,az,gx,gy,gz,lc1,lc2,lc3,lc4,temprature,voltage,GPSSats,GPSLat,GPSLong,GPSAlt,GPSSpeed,checksumEnd
201,4189,23452,0,28,330,1.22,9,0,-76,-5,28,88296,1146,4.93,0.00,8.97,-0.03,-0.06,-0.03,1591,1096,288,-37,26,95,0, 35.702480, 51.350719,0.00,0.09,254

201,4475,23741,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.89,-0.01,9.03,0.03,0.06,0.03,1592,1096,288,-37,26,96,0, 35.702480, 51.350719,0.00,0.09,254

201,4762,24027,0,28,330,1.22,9,0,-77,-5,28,88292,1146,4.91,-0.00,9.08,0.03,-0.24,0.03,1592,1097,288,-37,26,94,0, 35.702480, 51.350719,0.00,0.09,254

201,5049,24313,0,28,330,1.22,9,0,-77,-5,28,88291,1146,4.95,0.06,9.02,-0.03,0.06,0.15,1592,1097,288,-37,26,95,0, 35.702480, 51.350719,0.00,0.09,254

201,5337,24600,0,28,330,1.14,9,0,-77,-5,28,88297,1146,4.91,0.01,9.03,-0.09,-0.06,-0.03,1592,1097,288,-37,26,94,0, 35.702480, 51.350719,0.00,0.09,254

201,5529,24889,0,28,330,1.29,9,0,-77,-5,28,88295,1146,4.90,-0.01,9.01,-0.09,0.19,-0.03,1592,1097,288,-37,26,93,0, 35.702480, 51.350719,0.00,0.09,254

201,5720,25079,0,28,330,1.22,9,0,-77,-5,28,88296,1146,4.91,-0.02,8.91,-0.15,-0.18,-0.15,1592,1096,289,-37,26,96,0, 35.702480, 51.350719,0.00,0.09,254

201,5911,25271,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.91,0.05,9.04,-0.09,-0.18,0.03,1591,1096,288,-37,26,91,0, 35.702480, 51.350719,0.00,0.09,254

201,6103,25461,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.91,0.02,9.05,-0.03,-0.06,-0.15,1592,1097,288,-37,26,95,0, 35.702480, 51.350719,0.00,0.09,254

201,6294,25653,0,28,330,1.22,9,0,-77,-5,28,88297,1146,4.89,0.03,9.01,-0.15,-0.24,-0.03,1592,1096,288,-37,26,91,0, 35.702480, 51.350719,0.00,0.09,254

201,6485,25846,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.94,0.00,8.97,-0.15,-0.06,-0.03,1592,1096,288,-37,26,95,0, 35.702484, 51.350731,0.00,0.17,254

201,6772,26037,0,28,330,1.29,9,0,-77,-5,28,88292,1146,4.89,0.05,9.01,0.03,-0.24,-0.03,1592,1096,288,-37,26,93,0, 35.702484, 51.350731,0.00,0.17,254

201,7059,26323,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.89,0.05,9.01,-0.15,0.00,0.09,1592,1096,288,-37,26,94,0, 35.702484, 51.350731,0.00,0.17,254

201,7347,26609,0,28,330,1.14,9,0,-76,-5,28,88295,1146,4.91,0.00,8.92,-0.09,-0.18,-0.03,1592,1097,289,-37,26,89,0, 35.702484, 51.350731,0.00,0.17,254

201,7634,26899,0,28,330,1.22,9,0,-76,-5,28,88294,1146,4.88,0.00,9.00,-0.09,-0.18,-0.15,1592,1097,288,-37,26,90,0, 35.702484, 51.350731,0.00,0.17,254

201,7825,27185,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.92,0.06,9.03,-0.21,-0.24,0.03,1592,1097,289,-37,26,90,0, 35.702484, 51.350731,0.00,0.17,254

201,8112,27376,0,29,330,1.29,9,0,-77,-5,29,88292,1146,4.90,0.03,9.01,-0.09,-0.12,-0.09,1593,1097,288,-37,26,91,0, 35.702484, 51.350731,0.00,0.17,254

201,8399,27663,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.87,0.02,8.95,0.09,-0.06,-0.09,1592,1097,288,-37,26,92,0, 35.702484, 51.350731,0.00,0.17,254

201,8686,27952,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.90,0.06,8.97,-0.15,0.06,-0.03,1592,1097,288,-37,26,91,0, 35.702488, 51.350731,0.00,0.19,254

201,8974,28237,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.91,-0.00,8.97,0.09,-0.06,0.09,1593,1097,289,-37,26,90,0, 35.702488, 51.350731,0.00,0.19,254

201,9260,28524,0,29,330,1.22,9,0,-77,-5,29,88291,1146,4.92,0.05,8.91,-0.09,0.06,0.03,1592,1097,288,-37,26,92,0, 35.702488, 51.350731,0.00,0.19,254

201,9548,28812,0,28,330,1.14,9,0,-76,-5,28,88292,1146,4.95,0.07,9.06,-0.15,0.00,0.03,1592,1097,288,-37,26,91,0, 35.702488, 51.350731,0.00,0.19,254

201,9835,29099,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.91,-0.04,9.01,-0.09,-0.24,0.15,1592,1097,288,-37,26,92,0, 35.702488, 51.350731,0.00,0.19,254

201,10123,29386,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.93,-0.00,9.01,-0.09,0.06,-0.03,1591,1097,288,-37,26,88,0, 35.702488, 51.350731,0.00,0.19,254

201,10314,29673,0,28,330,1.22,9,0,-77,-5,28,88296,1146,4.97,0.00,8.98,0.09,-0.06,-0.03,1592,1097,288,-37,26,90,0, 35.702488, 51.350731,0.00,0.19,254

201,10505,29865,0,28,330,1.22,9,0,-77,-5,28,88290,1146,4.91,0.03,9.07,-0.03,0.00,-0.09,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,10792,30056,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.90,0.03,9.01,0.09,-0.12,0.15,1592,1096,289,-37,26,92,0, 35.702477, 51.350746,0.00,0.39,254

201,11079,30343,0,28,330,1.22,9,0,-77,-5,28,88297,1146,4.92,0.00,9.03,-0.09,-0.12,0.03,1592,1097,288,-37,26,91,0, 35.702477, 51.350746,0.00,0.39,254

201,11367,30629,0,28,330,1.29,9,0,-77,-5,28,88293,1146,4.93,0.06,9.03,0.03,-0.06,-0.03,1592,1097,289,-37,26,94,0, 35.702477, 51.350746,0.00,0.39,254

201,11653,30918,0,29,330,1.22,9,0,-77,-5,29,88293,1146,4.91,-0.03,8.88,0.03,-0.06,0.03,1593,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,11941,31204,0,28,330,1.29,9,0,-77,-5,28,88294,1146,4.91,-0.01,9.03,-0.15,0.06,-0.15,1592,1097,288,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,12324,31492,0,28,330,1.14,9,0,-77,-5,28,88293,1146,4.83,0.02,8.99,0.03,-0.06,-0.03,1591,1097,288,-37,26,94,0, 35.702477, 51.350746,0.00,0.39,254

201,12610,31875,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.90,0.00,8.99,0.15,-0.18,0.28,1592,1097,289,-37,26,91,0, 35.702477, 51.350746,0.00,0.39,254

201,12898,32161,0,28,330,1.14,9,0,-77,-5,28,88294,1145,4.97,0.01,8.93,-0.15,0.06,0.03,1592,1097,288,-37,26,92,0, 35.702477, 51.350746,0.00,0.39,254

201,13185,32448,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.92,-0.00,8.96,-0.09,-0.06,-0.09,1593,1097,288,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,13472,32737,0,28,330,1.14,9,0,-77,-5,28,88295,1146,4.92,0.01,8.95,-0.15,0.06,-0.39,1592,1097,289,-37,26,93,0, 35.702477, 51.350746,0.00,0.39,254

201,13759,33022,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.94,0.03,9.03,-0.09,0.06,-0.15,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,14047,33310,0,28,330,1.14,9,0,-77,-5,28,88292,1146,4.86,-0.01,8.89,-0.09,-0.06,0.15,1592,1097,288,-37,26,91,0, 35.702477, 51.350746,0.00,0.39,254

201,14237,33596,0,28,330,1.14,9,0,-77,-5,28,88296,1145,4.96,0.01,9.02,-0.03,0.06,0.09,1592,1097,289,-37,26,95,0, 35.702477, 51.350746,0.00,0.39,254

201,14429,33788,0,28,330,1.22,9,0,-77,-5,28,88293,1146,4.87,-0.01,9.09,-0.09,0.06,-0.03,1592,1098,288,-37,26,87,0, 35.702477, 51.350746,0.00,0.39,254

201,14716,33980,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.88,-0.00,8.92,-0.03,0.06,0.03,1592,1097,289,-37,26,93,0, 35.702477, 51.350746,0.00,0.39,254

201,14908,34267,0,28,330,1.14,9,0,-77,-5,28,88295,1146,4.90,-0.01,9.01,-0.09,-0.06,0.09,1592,1097,288,-37,26,91,0, 35.702477, 51.350746,0.00,0.39,254

201,15099,34457,0,28,330,1.29,9,0,-77,-5,28,88293,1146,4.83,0.02,8.99,0.21,0.00,0.03,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,15291,34649,0,28,330,1.22,9,0,-77,-5,28,88295,1146,4.96,0.02,8.98,-0.34,-0.06,-0.15,1591,1097,288,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

201,15482,34842,0,28,330,1.22,9,0,-77,-5,28,88294,1146,4.89,-0.03,9.08,-0.09,0.00,-0.09,1592,1097,289,-37,26,90,0, 35.702477, 51.350746,0.00,0.39,254

